asset_tag,asset_name,category,status,location,item_lifespan,disposal_method,acquisition_date
IL-UPS-N/A-025,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 2,5,,
IL-UPS-N/A-026,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 3,5,,
IL-UPS-N/A-027,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 3,5,,
IL-UPS-N/A-028,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 3,5,,
IL-UPS-N/A-029,UPS (CYBERPOWER),UPS (CYBERPOWER),Assigned,BRIDGE 4,5,,
IL-UPS-N/A-030,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 4,5,,
IL-UPS-N/A-031,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 4,5,,
IL-UPS-N/A-032,UPS (IDEAL),UPS (IDEAL),Assigned,BRIDGE 5,5,,
IL-UPS-N/A-033,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 5,5,,
IL-UPS-N/A-034,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 5,5,,
IL-UPS-N/A-035,UPS (SECURE),UPS (SECURE),Assigned,FMB,5,,
IL-UPS-N/A-036,UPS (SECURE),UPS (SECURE),Assigned,FMB,5,,
IL-UPS-N/A-037,UPS (SECURE),UPS (SECURE),Assigned,FMB,5,,
IL-UPS-N/A-038,UPS (SECURE),UPS (SECURE),Assigned,FMB,5,,
IL-UPS-N/A-039,UPS (AWP),UPS (AWP),Assigned,FMB,5,,
IL-UPS-N/A-040,UPS (IDEAL),UPS (IDEAL),Assigned,FMB,5,,
IL-UPS-N/A-041,UPS (SECURE),UPS (SECURE),Assigned,FMB,5,,
IL-UPS-N/A-042,UPS (AWP),UPS (AWP),Assigned,TRAINING,5,,
IL-UPS-N/A-043,UPS (AWP),UPS (AWP),Assigned,TRAINING,5,,
IL-UPS-N/A-044,UPS (INTEX),UPS (INTEX),Assigned,ROOM 101,5,,
IL-UPS-N/A-045,UPS (AWP),UPS (AWP),Assigned,ROOM 102,5,,
IL-UPS-N/A-046,UPS (SECURE),UPS (SECURE),Assigned,ROOM 103,5,,
IL-UPS-N/A-047,UPS (SECURE),UPS (SECURE),Assigned,ROOM103/LCHS,5,,
IL-UPS-N/A-048,UPS (SECURE),UPS (SECURE),Assigned,ROOM103/LCHS,5,,
IL-UPS-N/A-049,UPS (SECURE),UPS (SECURE),Assigned,ROOM103/LCHS,5,,
IL-UPS-N/A-050,UPS (SECURE),UPS (SECURE),Assigned,ROOM103/LCHS,5,,
IL-UPS-N/A-051,UPS (AWP),UPS (AWP),Assigned,ROOM 105,5,,
IL-UPS-N/A-052,UPS (AWP),UPS (AWP),Assigned,ROOM 106,5,,
IL-UPS-N/A-053,UPS (AWP),UPS (AWP),Assigned,ROOM 107,5,,
IL-UPS-N/A-054,UPS (AWP),UPS (AWP),Assigned,ROOM 108,5,,
IL-UPS-N/A-055,UPS(AWP),UPS(AWP),Assigned,TRAINING,5,,
IL-UPS-N/A-056,UPS(AWP),UPS(AWP),Assigned,ADMIN,5,,
IL-UPS-N/A-057,UPS(AWP),UPS(AWP),Assigned,ADMIN,5,,
IL-UPS-N/A-058,UPS(AWP),UPS(AWP),Assigned,CASHIER,5,,
IL-UPS-N/A-059,UPS(AWP),UPS(AWP),Assigned,FINANCE,5,,
IL-UPS-N/A-060,UPS(Intex),UPS(Intex),Assigned,FINANCE,5,,
IL-UPS-N/A-061,UPS(AWP),UPS(AWP),Assigned,IT/CCTV,5,,
IL-UPS-N/A-062,UPS(APC),UPS(APC),Assigned,REGISTRATION,5,,
IL-UPS-N/A-063,UPS(AWP),UPS(AWP),Assigned,REGISTRATION,5,,
IL-UPS-N/A-064,UPS(AWP),UPS(AWP),Assigned,REGISTRATION,5,,
IL-UPS-N/A-065,UPS(AWP),UPS(AWP),Assigned,REGISTRATION,5,,
IL-UPS-N/A-066,UPS(AWP),UPS(AWP),Assigned,101-ANNEX,5,,
IL-UPS-N/A-067,UPS(AWP),UPS(AWP),Assigned,102-ANNEX,5,,
IL-UPS-N/A-068,UPS(AWP),UPS(AWP),Assigned,103-ANNEX,5,,
IL-UPS-N/A-069,UPS(AWP),UPS(AWP),Assigned,104-ANNEX,5,,
IL-UPS-N/A-070,UPS(AWP),UPS(AWP),Assigned,105-ANNEX,5,,
IL-UPS-N/A-071,UPS(AWP),UPS(AWP),Assigned,106-ANNEX,5,,
IL-UPS-N/A-072,UPS(AWP),UPS(AWP),Assigned,107-ANNEX,5,,
IL-UPS-N/A-073,UPS(AWP),UPS(AWP),Assigned,TRAINING-ANNEX,5,,
IL-UPS-N/A-074,UPS(AWP),UPS(AWP),Assigned,REGISTRATION,5,,
IL-UPS-N/A-075,UPS(AWP),UPS(AWP),Assigned,REGISTRATION,5,,
IL-UPS-N/A-076,UPS(AWP),UPS(AWP),Assigned,BRIDGE 3,5,,
IL-UPS-N/A-077,UPS(CYBERPOWER),UPS(CYBERPOWER),Assigned,INSTRUCTOR BRIDGE,5,,
IL-UPS-N/A-078,UPS(EMERSON),UPS(EMERSON),Assigned,INSTRUCTOR BRIDGE,5,,
IL-UPS-N/A-079,UPS(AWP),UPS(AWP),Assigned,ROOM 104,5,,
IL-UPS-N/A-080,UPS(AWP),UPS(AWP),Assigned,PAD SERVER,5,,
IL-UPS-N/A-081,UPS(INTEX),UPS(INTEX),Assigned,PAD SERVER,5,,
IL-UPS-N/A-082,UPS(INTEX),UPS(INTEX),Assigned,PAD SERVER,5,,
IL-UPS-N/A-083,UPS(AWP),UPS(AWP),Assigned,PAD SERVER,5,,
IL-UPS-N/A-084,UPS(CYBERPOWER),UPS(CYBERPOWER),Assigned,PAD SERVER,5,,
IL-UPS-N/A-085,UPS(APC),UPS(APC),Assigned,FMB,5,,
IL-UPS-N/A-086,UPS(APC),UPS(APC),Assigned,FMB,5,,
IL-UPS-N/A-087,UPS(APC),UPS(APC),Assigned,FMB,5,,
IL-UPS-N/A-088,UPS(APC),UPS(APC),Assigned,FMB,5,,
IL-UPS-N/A-089,UPS(APC),UPS(APC),Assigned,FMB,5,,
IL-UPS-N/A-090,UPS(APC),UPS(APC),Assigned,FMB,5,,
IL-UPS-N/A-091,UPS(APC),UPS(APC),Assigned,INSTRUCTOR BRIDGE,5,,
IL-UPS-N/A-092,UPS(AWP),UPS(AWP),Assigned,PAD SERVER,5,,
IL-UPS-N/A-093,UPS(AWP),UPS(AWP),Assigned,PAD SERVER,5,,
IL-UPS-N/A-094,UPS (SECURE),UPS (SECURE),Assigned,PAD SERVER,5,,
IL-UPS-N/A-095,UPS(APC),UPS(APC),Assigned,ANNEX SERVER,5,,
IL-UPS-N/A-096,UPS(AWP),UPS(AWP),Assigned,ANNEX SERVER,5,,
PO-UPS-2023-001,UPS( AWP),UPS( AWP),Assigned,ROOM 101 POTOTAN,5,,
PO-UPS-2023-002,UPS(INTEX),UPS(INTEX),Assigned,ROOM 102  POTOTAN,5,,
PO-UPS-2023-003,UPS( AWP),UPS( AWP),Assigned,ADMIN  POTOTAN,5,,
PO-UPS-2023-004,UPS(AWP),UPS(AWP),Assigned,ADMIN  POTOTAN,5,,
PO-UPS-2023-005,UPS(AWP),UPS(AWP),Assigned,ADMIN  POTOTAN,5,,
PO-UPS-2023-006,UPS(AWP),UPS(AWP),Assigned,ADMIN  POTOTAN,5,,
,,,Assigned,,5,,
IL-UPS-2024-104,UPS(APC),UPS(APC),Assigned,INSTRUCTOR BRIDGE,5,,
IL-UPS-2024-105,UPS(APC),UPS(APC),Assigned,BRIDGE 1,5,,
IL-UPS-2024-106,UPS(APC),UPS(APC),Assigned,BRIDGE 1,5,,
IL-UPS-2024-107,UPS(APC),UPS(APC),Assigned,BRIDGE 1,5,,
IL-UPS-2024-108,UPS(APC),UPS(APC),Assigned,BRIDGE 1,5,,
IL-UPS-2024-109,UPS(APC),UPS(APC),Assigned,BRIDGE 4,5,,
IL-UPS-2024-110,UPS(APC),UPS(APC),Assigned,BRIDGE 3,5,,
IL-UPS-2024-111,UPS(APC),UPS(APC),Assigned,BRIDGE 4,5,,
IL-UPS-2024-112,UPS(APC),UPS(APC),Assigned,BRIDGE 3,5,,
IL-UPS-2024-113,UPS(APC),UPS(APC),Assigned,BRIDGE 5,5,,
IL-UPS-2024-114,UPS(APC),UPS(APC),Assigned,BRIDGE 5,5,,
IL-UPS-2024-115,UPS(APC),UPS(APC),Assigned,BRIDGE 5,5,,
IL-UPS-2024-116,UPS(APC),UPS(APC),Assigned,ERS INSTRUCTOR,5,,
IL-UPS-2024-117,UPS(APC),UPS(APC),Assigned,ERS Station 5,5,,
IL-UPS-2024-118,UPS(APC),UPS(APC),Assigned,ERS Station 6,5,,
IL-UPS-2024-119,UPS(APC),UPS(APC),Assigned,PAD SERVER,5,,
IL-UPS-2025-120,UPS(APC),UPS(APC),Assigned,108 - IGF SIMULATOR,5,,
IL-UPS-2025-121,UPS(APC),UPS(APC),Assigned,108 - IGF SIMULATOR,5,,
IL-UPS-2025-122,UPS(APC),UPS(APC),Assigned,108 - IGF SIMULATOR,5,,
IL-UPS-2025-123,UPS(APC),UPS(APC),Assigned,108 - IGF SIMULATOR,5,,
IL-UPS-2025-124,UPS(APC),UPS(APC),Assigned,108 - IGF SIMULATOR,5,,
IL-UPS-2025-125,UPS(APC),UPS(APC),Assigned,108 - IGF SIMULATOR,5,,
IL-UPS-2025-126,UPS(APC),UPS(APC),Assigned,108 - IGF SIMULATOR,5,,
IL-SPE-N/A-001,SPEAKER(JABRA),SPEAKER(JABRA),Assigned,ANNEX,5,,
IL-SPE-N/A-002,SPEAKER (LOGITECH),SPEAKER (LOGITECH),Assigned,BRIDGE 1,5,,
IL-SPE-N/A-003,SPEAKER(LOGITECH),SPEAKER(LOGITECH),Assigned,BRIDGE 1,5,,
IL-SPE-N/A-004,SPEAKER(LOGITECH),SPEAKER(LOGITECH),Assigned,BRIDGE 1,5,,
IL-SPE-N/A-005,SPEAKER(LOGITECH),SPEAKER(LOGITECH),Assigned,BRIDGE 2,5,,
IL-SPE-N/A-006,SPEAKER(LOGITECH),SPEAKER(LOGITECH),Assigned,BRIDGE 2,5,,
IL-SPE-N/A-007,SPEAKER (LOGITECH),SPEAKER (LOGITECH),Assigned,BRIDGE 3,5,,
IL-SPE-N/A-008,SPEAKER (LOGITECH),SPEAKER (LOGITECH),Assigned,BRIDGE 3,5,,
IL-SPE-N/A-009,SPEAKER (LOGITECH),SPEAKER (LOGITECH),Assigned,BRIDGE 4,5,,
IL-SPE-N/A-010,SPEAKER (LOGITECH),SPEAKER (LOGITECH),Assigned,BRIDGE 4,5,,
IL-SPE-N/A-011,SPEAKER (LOGITECH),SPEAKER (LOGITECH),Assigned,BRIDGE 5,5,,
IL-SPE-N/A-012,SPEAKER (LOGITECH),SPEAKER (LOGITECH),Assigned,BRIDGE 5,5,,
IL-SPE-N/A-013,SPEAKER (LOGITECH),SPEAKER (LOGITECH),Assigned,BRIDGE 5,5,,
IL-SPE-N/A-014,SPEAKER (LOGITECH),SPEAKER (LOGITECH),Assigned,TRAINING-ANNEX,5,,
IL-SPE-N/A-015,SPEAKER (LOGITECH),SPEAKER (LOGITECH),Assigned,ROOM 101,5,,
IL-SPE-N/A-016,SPEAKER (CREATIVE),SPEAKER (CREATIVE),Assigned,ROOM 102,5,,
IL-SPE-N/A-017,SPEAKER (LOGITECH),SPEAKER (LOGITECH),Assigned,ROOM 105,5,,
IL-SPE-N/A-018,SPEAKER (CREATIVE),SPEAKER (CREATIVE),Assigned,FMB,5,,
IL-SPE-N/A-019,SPEAKER (LOGITECH),SPEAKER (LOGITECH),Assigned,PAD SERVER,5,,
IL-SPE-N/A-020,SPEAKER (LOGITECH),SPEAKER (LOGITECH),Assigned,TRAINING,5,,
IL-SPE-N/A-021,SPEAKER (LOGITECH),SPEAKER (LOGITECH),Assigned,TRAINING,5,,
IL-SPE-N/A-022,SPEAKER (LOGITECH),SPEAKER (LOGITECH),Assigned,ROOM103/LCHS,5,,
IL-SPE-N/A-023,SPEAKER (LOGITECH),SPEAKER (LOGITECH),Assigned,PAD SERVER,5,,
IL-SPE-N/A-024,SPEAKER (LOGITECH),SPEAKER (LOGITECH),Assigned,PAD DEPT,5,,
IL-SPE-N/A-025,SPEAKER (CREATIVE),SPEAKER (CREATIVE),Assigned,PAD DEPT,5,,
IL-SPE-N/A-026,SPEAKER (LOGITECH),SPEAKER (LOGITECH),Assigned,PAD SERVER,5,,
IL-SPE-N/A-027,SPEAKER (LOGITECH),SPEAKER (LOGITECH),Assigned,ANNEX SERVER,5,,
IL-SPE-N/A-028,SPEAKER (CREATIVE),SPEAKER (CREATIVE),Assigned,ANNEX-102,5,,
IL-HST-N/A-001,Headset (LOGITECH),Headset (LOGITECH),Assigned,ERS Station 1,5,,
IL-HST-N/A-002,Headset (LOGITECH),Headset (LOGITECH),Assigned,ERS Station 2,5,,
IL-HST-N/A-003,Headset (LOGITECH),Headset (LOGITECH),Assigned,ERS Station 3,5,,
IL-HST-N/A-004,Headset (LOGITECH),Headset (LOGITECH),Assigned,ERS Station 4,5,,
IL-HST-N/A-005,Headset (LOGITECH),Headset (LOGITECH),Assigned,ERS Station 5,5,,
IL-HST-N/A-006,Headset (LOGITECH),Headset (LOGITECH),Assigned,ERS Station 6,5,,
IL-HST-N/A-007,Headset (LOGITECH),Headset (LOGITECH),Assigned,ERS Station 7,5,,
IL-HST-N/A-008,Headset (LOGITECH),Headset (LOGITECH),Assigned,ERS Station 8,5,,
IL-HST-N/A-009,Headset (LOGITECH),Headset (LOGITECH),Assigned,PAD SERVER,5,,
IL-HST-N/A-010,Headset (LOGITECH),Headset (LOGITECH),Assigned,PAD SERVER,5,,
IL-HST-N/A-011,Headset (LOGITECH),Headset (LOGITECH),Assigned,PAD SERVER,5,,
IL-HST-N/A-012,Headset (LOGITECH),Headset (LOGITECH),Assigned,PAD SERVER,5,,
IL-HST-N/A-013,Headset (LOGITECH),Headset (LOGITECH),Assigned,PAD SERVER,5,,
IL-HST-N/A-014,Headset (LOGITECH),Headset (LOGITECH),Assigned,PAD SERVER,5,,
IL-HST-N/A-015,Headset (LOGITECH),Headset (LOGITECH),Assigned,PAD SERVER,5,,
IL-HST-N/A-016,Headset (LOGITECH),Headset (LOGITECH),Assigned,PAD SERVER,5,,
IL-HST-N/A-017,Headset (LOGITECH),Headset (LOGITECH),Assigned,PAD SERVER,5,,
IL-HST-N/A-018,Headset (A4TECH),Headset (A4TECH),Assigned,PAD SERVER,5,,
IL-PRT-N/A-001,PRINTER (EPSON),PRINTER (EPSON),Assigned,PAD,5,,
IL-PRT-N/A-002,PRINTER (EPSON),PRINTER (EPSON),Assigned,ERS STATION,5,,
IL-PRT-N/A-003,PRINTER (EPSON),PRINTER (EPSON),Assigned,IT,5,,
IL-PRT-N/A-004,PRINTER (EPSON),PRINTER (EPSON),Assigned,TRAINING,5,,
IL-PRT-N/A-005,PRINTER (EPSON),PRINTER (EPSON),Assigned,TRAINING,5,,
IL-PRT-N/A-006,PRINTER(Epson M1120),PRINTER(Epson M1120),Assigned,TRAINING,5,,
IL-PRT-N/A-007,PRINTER(EPSON L6190),PRINTER(EPSON L6190),Assigned,ADMIN,5,,
IL-PRT-N/A-008,PRINTER(Epson L6190),PRINTER(Epson L6190),Assigned,ADMIN,5,,
IL-PRT-N/A-009,PRINTER(Epson LX-310),PRINTER(Epson LX-310),Assigned,CASHIER,5,,
IL-PRT-N/A-010,Printer(Epson L6490),Printer(Epson L6490),Assigned,Finance,5,,
IL-PRT-N/A-011,Printer(Epson L5290),Printer(Epson L5290),Assigned,Registration,5,,
IL-PRT-N/A-012,Printer(Epson L5290),Printer(Epson L5290),Assigned,Service Support,5,,
IL-PRT-N/A-013,Printer(EPSON L5190),Printer(EPSON L5190),Assigned,MARKETING,5,,
IL-PRT-N/A-014,Printer(EPSON L5290),Printer(EPSON L5290),Assigned,HR,5,,
IL-PRT-N/A-015,Printer(Epson L6490),Printer(Epson L6490),Assigned,Registration,5,,
IL-PRT-N/A-016,PRINTER(Epson L3210),PRINTER(Epson L3210),Assigned,TRAINING-ANNEX,5,,
PO-PTR-2018-001,PRINTER (EPSON L360 SERIES),PRINTER (EPSON L360 SERIES),Assigned,POTOTAN SITE,5,,
PO-PTR-2022-002,PRINTER (EPSON L5190),PRINTER (EPSON L5190),Assigned,POTOTAN SITE,5,,
IL-PRT-N/A-019,PRINTER (EPSON),PRINTER (EPSON),Assigned,POTOTAN SITE,5,,
IL-PRT-N/A-020,PRINTER (EPSON),PRINTER (EPSON),Assigned,POTOTAN SITE,5,,
IL-PRT-N/A-021,PRINTER (BROTHER),PRINTER (BROTHER),Assigned,POTOTAN SITE,5,,
IL-PRT-N/A-022,PRINTER (EPSON),PRINTER (EPSON),Assigned,ERS LAB,5,,
IL-PRT-2025-023,PRINTER (FUJIFILM ),PRINTER (FUJIFILM ),Assigned,ANNEX,5,,
IL-TAB-N/A-001,TABLET(HUAWEI),TABLET(HUAWEI),Assigned,Registration,5,,
IL-TAB-N/A-002,TABLET(HUAWEI),TABLET(HUAWEI),Assigned,Registration,5,,
IL-TAB-N/A-003,TABLET(HUAWEI),TABLET(HUAWEI),Assigned,Registration,5,,
IL-TAB-N/A-004,TABLET(HUAWEI),TABLET(HUAWEI),Assigned,Registration,5,,
IL-TAB-N/A-005,TABLET(HUAWEI),TABLET(HUAWEI),Assigned,Registration,5,,
IL-TAB-N/A-006,TABLET(HUAWEI),TABLET(HUAWEI),Assigned,Registration,5,,
IL-TAB-N/A-007,TABLET(HUAWEI),TABLET(HUAWEI),Assigned,Registration,5,,
IL-TAB-N/A-008,TABLET(HUAWEI),TABLET(HUAWEI),Assigned,Registration,5,,
IL-TAB-N/A-009,TABLET(HUAWEI),TABLET(HUAWEI),Assigned,Registration,5,,
IL-TAB-N/A-010,TABLET(HUAWEI),TABLET(HUAWEI),Assigned,Registration,5,,
IL-TAB-N/A-011,TABLET(HUAWEI),TABLET(HUAWEI),Assigned,Registration,5,,
IL-TAB-N/A-012,TABLET(HUAWEI),TABLET(HUAWEI),Assigned,POTOTAN SITE,5,,
IL-TAB-N/A-013,TABLET(HUAWEI),TABLET(HUAWEI),Assigned,POTOTAN SITE,5,,
IL-SWT-N/A-001,SWITCH(D-LINK),SWITCH(D-LINK),Assigned,PAD SERVER,5,,
IL-SWT-N/A-002,SWITCH(TP-LINK),SWITCH(TP-LINK),Assigned,ANNEX SERVER,5,,
IL-SWT-N/A-003,SWITCH(TP-LINK),SWITCH(TP-LINK),Assigned,ANNEX SERVER,5,,
IL-SWT-N/A-003,SWITCH(MERCUSYS),SWITCH(MERCUSYS),Assigned,ANNEX SERVER,5,,
PO-SWT-N/A-001,SWITCH(TP-LINK),SWITCH(TP-LINK),Assigned,POTOTAN SITE,5,,
IL-SWT-N/A-005,SWITCH(TP-LINK),SWITCH(TP-LINK),Assigned,108 - IGF SIMULATOR,5,,
IL-CAM-N/A-001,WEBCAM(INPLAY),WEBCAM(INPLAY),Assigned,PAD SERVER,5,,
IL-CAM-N/A-002,WEBCAM(INPLAY),WEBCAM(INPLAY),Assigned,PAD SERVER,5,,
IL-CAM-N/A-003,WEBCAM(A4TECH),WEBCAM(A4TECH),Assigned,PAD SERVER,5,,
IL-CAM-N/A-004,WEBCAM(A4TECH),WEBCAM(A4TECH),Assigned,PAD SERVER,5,,
IL-CAM-N/A-005,WEBCAM(A4TECH),WEBCAM(A4TECH),Assigned,PAD SERVER,5,,
IL-CAM-N/A-006,WEBCAM(A4TECH),WEBCAM(A4TECH),Assigned,PAD SERVER,5,,
IL-CAM-N/A-007,WEBCAM(A4TECH),WEBCAM(A4TECH),Assigned,PAD SERVER,5,,
IL-CAM-N/A-008,WEBCAM(A4TECH),WEBCAM(A4TECH),Assigned,PAD DEPT,5,,
IL-CAM-N/A-009,WEBCAM(BADWOLF),WEBCAM(BADWOLF),Assigned,PAD SERVER,5,,
IL-CAM-N/A-010,WEBCAM(A4TECH),WEBCAM(A4TECH),Assigned,TRAINING,5,,
IL-CAM-N/A-011,WEBCAM(LOGITECH),WEBCAM(LOGITECH),Assigned,TRAINING,5,,
IL-CAM-N/A-012,WEBCAM(INPLAY),WEBCAM(INPLAY),Assigned,Annex,5,,
IL-CAM-N/A-013,WEBCAM(BadWolf),WEBCAM(BadWolf),Assigned,Annex,5,,
IL-CAM-N/A-014,WEBCAM(A4Tech),WEBCAM(A4Tech),Assigned,Annex,5,,
IL-CAM-N/A-015,WEBCAM(INPLAY),WEBCAM(INPLAY),Assigned,Annex-Server,5,,
PO-CAM-N/A-001,WEBCAM(INPLAY),WEBCAM(INPLAY),Assigned,POTOTAN SITE,5,,
IL-SIG-2025-001,SIGNAL BOOSTER,SIGNAL BOOSTER,Assigned,ANNEX,5,,
PO-TVM-2022-005,TV MONITOR(TCL),TV MONITOR(TCL),Assigned,STAFF HOUSE,5,,
IL-SWT-N/A-006,SWITCH(D-LINK),SWITCH(D-LINK),Assigned,BRIDGE,5,,
IL-SWT-N/A-007,SWITCH(D-LINK),SWITCH(D-LINK),Assigned,BRIDGE,5,,
IL-SWT-N/A-008,SWITCH(D-LINK),SWITCH(D-LINK),Assigned,BRIDGE,5,,
IL-SWT-N/A-009,SWITCH,SWITCH,Assigned,FMB,5,,
IL-UPS-2025-127,UPS(APC),UPS(APC),Assigned,BRIDGE 2,5,,
